question,answer,focus,qtype,source
What to do for Henoch-Schnlein Purpura ?,"- Henoch-Schnlein purpura (HSP) is a disease that causes small blood vessels in the body to become inflamed and leak.  - HSP is caused by an abnormal immune system response in which the bodys immune system attacks the bodys own cells and organs. The factors that cause this immune system response are not known.  - The symptoms of HSP include the following:      - rash    - digestive tract problems    - arthritis    - kidney involvement    - In children, the risk of kidney damage leading to long-term problems may be as high as 15 percent, but kidney failure affects only about 1 percent of children with HSP. Up to 40 percent of adults with HSP will have CKD or kidney failure within 15 years after diagnosis.  - A diagnosis of HSP is suspected when a person has the characteristic rash and one of the following:      - abdominal pain    - joint pain    - antibody deposits on the skin    - hematuria or proteinuria    - Antibody deposits on the skin can confirm the diagnosis of HSP.  - No specific treatment for HSP exists. The main goal of treatment is to relieve symptoms such as joint pain, abdominal pain, and swelling. People with kidney involvement may receive treatment aimed at preventing long-term kidney disease.",Henoch-Schnlein Purpura,considerations,NIDDK
What is (are) High Blood Pressure and Kidney Disease ?,"Blood pressure is the force of blood pushing against blood vessel walls as the heart pumps out blood, and high blood pressure, also called hypertension, is an increase in the amount of force that blood places on blood vessels as it moves through the body. Factors that can increase this force include higher blood volume due to extra fluid in the blood and blood vessels that are narrow, stiff, or clogged.
                
Blood pressure test results are written with two numbers separated by a slash. For example, a health care provider will write a blood pressure result as 120/80. A health care provider will say this blood pressure result as 120 over 80. The top number is called the systolic pressure and represents the pressure as the heart beats and pushes blood through the blood vessels. The bottom number is called the diastolic pressure and represents the pressure as blood vessels relax between heartbeats.
                
Most people without chronic health conditions have a normal blood pressure if it stays below 120/80. Prehypertension is a systolic pressure of 120 to 139 or a diastolic pressure of 80 to 89. High blood pressure is a systolic pressure of 140 or above or a diastolic pressure of 90 or above.1
                
People should talk with their health care provider about their individual blood pressure goals and how often they should have their blood pressure checked.",High Blood Pressure and Kidney Disease,information,NIDDK
What is (are) High Blood Pressure and Kidney Disease ?,"The kidneys are two bean-shaped organs, each about the size of a fist. They are located just below the rib cage, one on each side of the spine. Every day, the two kidneys filter about 120 to 150 quarts of blood to produce about 1 to 2 quarts of urine, composed of wastes and extra fluid. The urine flows from the kidneys to the bladder through tubes called ureters. The bladder stores urine. When the bladder empties, urine flows out of the body through a tube called the urethra, located at the bottom of the bladder. In men the urethra is long, while in women it is short.
                
Kidneys work at the microscopic level. The kidney is not one large filter. Each kidney is made up of about a million filtering units called nephrons. Each nephron filters a small amount of blood. The nephron includes a filter, called the glomerulus, and a tubule. The nephrons work through a two-step process. The glomerulus lets fluid and waste products pass through it; however, it prevents blood cells and large molecules, mostly proteins, from passing. The filtered fluid then passes through the tubule, which sends needed minerals back to the bloodstream and removes wastes. The final product becomes urine.",High Blood Pressure and Kidney Disease,information,NIDDK
What are the symptoms of High Blood Pressure and Kidney Disease ?,"Most people with high blood pressure do not have symptoms. In rare cases, high blood pressure can cause headaches.
                
Kidney disease also does not have symptoms in the early stages. A person may have swelling called edema, which happens when the kidneys cannot get rid of extra fluid and salt. Edema can occur in the legs, feet, or ankles and less often in the hands or face. Once kidney function decreases further, symptoms can include
                
- appetite loss  - nausea  - vomiting  - drowsiness or feeling tired  - trouble concentrating  - sleep problems  - increased or decreased urination  - generalized itching or numbness  - dry skin  - headaches  - weight loss  - darkened skin  - muscle cramps  - shortness of breath  - chest pain",High Blood Pressure and Kidney Disease,symptoms,NIDDK
How to diagnose High Blood Pressure and Kidney Disease ?,"A health care provider diagnoses high blood pressure when multiple blood pressure testsoften repeated over several visits to a health care providers officeshow that a systolic blood pressure is consistently above 140 or a diastolic blood pressure is consistently above 90. Health care providers measure blood pressure with a blood pressure cuff. People can also buy blood pressure cuffs at discount chain stores and drugstores to monitor their blood pressure at home.
                
Kidney disease is diagnosed with urine and blood tests.
                
Urine Tests
                
Dipstick test for albumin. A dipstick test performed on a urine sample can detect the presence of albumin in the urine. Albumin is a protein in the blood that can pass into the urine when the kidneys are damaged. A patient collects the urine sample in a special container in a health care providers office or a commercial facility. The office or facility tests the sample onsite or sends it to a lab for analysis. For the test, a nurse or technician places a strip of chemically treated paper, called a dipstick, into the urine. Patches on the dipstick change color when blood or protein is present in urine.
                
Urine albumin-to-creatinine ratio. A health care provider uses the albumin and creatinine measurement to determine the ratio between the albumin and creatinine in the urine. Creatinine is a waste product in the blood that is filtered in the kidneys and excreted in the urine. A urine albumin-to-creatinine ratio above 30 mg/g may be a sign of kidney disease.
                
Blood Test
                
A blood test involves having blood drawn at a health care providers office or a commercial facility and sending the sample to a lab for analysis. A health care provider may order a blood test to estimate how much blood the kidneys filter each minute, called the estimated glomerular filtration rate (eGFR). The results of the test indicate the following:
                
- eGFR of 60 or above is in the normal range  - eGFR below 60 may indicate kidney damage  - eGFR of 15 or below may indicate kidney failure
                

                
Get Screened for Kidney Disease   Kidney disease, when found early, can be treated to prevent more serious disease and other complications. The National Kidney Foundation recommends people with high blood pressure receive the following regular screenings:   - blood pressure tests   - urine albumin   - eGFR    Health care providers will help determine how often people with high blood pressure should be screened.",High Blood Pressure and Kidney Disease,exams and tests,NIDDK
How to prevent High Blood Pressure and Kidney Disease ?,"The best way to slow or prevent kidney disease from high blood pressure is to take steps to lower blood pressure. These steps include a combination of medication and lifestyle changes, such as
                
- healthy eating  - physical activity  - maintaining a healthy weight  - quitting smoking  - managing stress
                
No matter what the cause of the kidney disease, high blood pressure can increase damage to the kidneys. People with kidney disease should keep their blood pressure below 140/90.4
                
Medication
                
Medications that lower blood pressure can also significantly slow the progression of kidney disease. Two types of blood pressure-lowering medications, angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), have been shown effective in slowing the progression of kidney disease. Many people require two or more medications to control their blood pressure. In addition to an ACE inhibitor or an ARB, a health care provider may prescribe a diuretica medication that helps the kidneys remove fluid from the blood. A person may also need beta blockers, calcium channel blockers, and other blood pressure medications.",High Blood Pressure and Kidney Disease,prevention,NIDDK
What to do for High Blood Pressure and Kidney Disease ?,"Following a healthy eating plan can help lower blood pressure. A health care provider may recommend the Dietary Approaches to Stop Hypertension (DASH) eating plan. DASH focuses on fruits, vegetables, whole grains, and other foods that are heart healthy and lower in sodium, which often comes from salt. The DASH eating plan
                
- is low in fat and cholesterol  - features fat-free or low-fat milk and dairy products, fish, poultry, and nuts  - suggests less red meat, sweets, added sugars, and sugar-containing beverages  - is rich in nutrients, protein, and fiber
                
Read more about DASH at www.nhlbi.nih.gov/health/resources/heart/hbp-dash-index.htm.
                
A dietitian may also recommend this type of diet for people who have already developed kidney disease. A diet low in sodium and liquid intake can help reduce edema and lower blood pressure. Reducing saturated fat and cholesterol can help control high levels of lipids, or fats, in the blood.
                
Health care providers may recommend that people with kidney disease eat moderate or reduced amounts of protein, though the benefits of reducing protein in a persons diet is still being researched. Proteins break down into waste products that the kidneys filter from the blood. Eating more protein than the body needs may burden the kidneys and cause kidney function to decline faster. However, protein intake that is too low may lead to malnutrition, a condition that occurs when the body does not get enough nutrients. People with kidney disease who are on a restricted protein diet should be monitored with blood tests that can show low nutrient levels.
                
In addition, consuming too much alcohol raises blood pressure, so people should limit alcoholic drinkstwo per day for men and one per day for women.
                
A health care provider can help people change their diet to meet their individual needs.
                
Physical Activity
                
Regular physical activity can lower blood pressure and reduce the chances of other health problems. A health care provider can provide information about how much and what kinds of activity are safe. Most people should try to get at least 30 to 60 minutes of activity most or all days of the week. A person can do all physical activity at once or break up activities into shorter periods of at least 10 minutes each. Moderate activities include brisk walking, dancing, bowling, riding a bike, working in a garden, and cleaning the house.
                
Body Weight
                
People who are overweight or obese should aim to reduce their weight by 7 to 10 percent during the first year of treatment for high blood pressure. This amount of weight loss can lower the chance of health problems related to high blood pressure. Overweight is defined as a body mass index (BMI)a measurement of weight in relation to heightof 25 to 29. A BMI of 30 or higher is considered obese. A BMI lower than 25 is the goal for keeping blood pressure under control.5
                
Smoking
                
People who smoke should quit. Smoking can damage blood vessels, raise the chance of high blood pressure, and worsen health problems related to high blood pressure. People with high blood pressure should talk with their health care provider about programs and products they can use to quit smoking.
                
Stress
                
Learning how to manage stress, relax, and cope with problems can improve emotional and physical health. Some activities that may help reduce stress include
                
- exercising  - practicing yoga or tai chi  - listening to music  - focusing on something calm or peaceful  - meditating",High Blood Pressure and Kidney Disease,considerations,NIDDK
What to do for High Blood Pressure and Kidney Disease ?,"- Blood pressure is the force of blood pushing against blood vessel walls as the heart pumps out blood, and high blood pressure, also called hypertension, is an increase in the amount of force that blood places on blood vessels as it moves through the body.  - High blood pressure can damage blood vessels in the kidneys, reducing their ability to work properly. When the force of blood flow is high, blood vessels stretch so blood flows more easily. Eventually, this stretching scars and weakens blood vessels throughout the body, including those in the kidneys.  - High blood pressure is the second leading cause of kidney failure in the United States after diabetes.  - A health care provider diagnoses high blood pressure when multiple blood pressure testsoften repeated over several visits to a health care providers officeshow that a systolic blood pressure is consistently above 140 or a diastolic blood pressure is consistently above 90.  - Kidney disease is diagnosed with urine and blood tests.  - The best way to slow or prevent kidney damage from high blood pressure is to take steps to lower blood pressure. These steps include a combination of medication and lifestyle changes, such as      - healthy eating    - physical activity    - maintaining a healthy weight    - quitting smoking    - managing stress    - No matter what the cause of the kidney disease, high blood pressure can increase damage to the kidneys. People with kidney disease should keep their blood pressure below 140/90.",High Blood Pressure and Kidney Disease,considerations,NIDDK
What is (are) IgA Nephropathy ?,"IgA nephropathy, also known as Bergers disease, is a kidney disease that occurs when IgA deposits build up in the kidneys, causing inflammation that damages kidney tissues. IgA is an antibodya protein made by the immune system to protect the body from foreign substances such as bacteria or viruses. Most people with IgA nephropathy receive care from a nephrologist, a doctor who specializes in treating people with kidney disease.",IgA Nephropathy,information,NIDDK
What causes IgA Nephropathy ?,"Scientists think that IgA nephropathy is an autoimmune kidney disease, meaning that the disease is due to the bodys immune system harming the kidneys.
                
People with IgA nephropathy have an increased blood level of IgA that contains less of a special sugar, galactose, than normal. This galactose-deficient IgA is considered foreign by other antibodies circulating in the blood. As a result, these other antibodies attach to the galactose-deficient IgA and form a clump. This clump is also called an immune complex. Some of the clumps become stuck in the glomerulus of the nephron and cause inflammation and damage.
                
For some people, IgA nephropathy runs in families. Scientists have recently found several genetic markers that may play a role in the development of the disease. IgA nephropathy may also be related to respiratory or intestinal infections and the immune systems response to these infections.",IgA Nephropathy,causes,NIDDK
How many people are affected by IgA Nephropathy ?,"IgA nephropathy is one of the most common kidney diseases, other than those caused by diabetes or high blood pressure.1
                
IgA nephropathy can occur at any age, although the first evidence of kidney disease most frequently appears when people are in their teens to late 30s.2 IgA nephropathy in the United States is twice as likely to appear in men than in women.3 While found in people all over the world, IgA nephropathy is more common among Asians and Caucasians.4
                
A person may be more likely to develop IgA nephropathy if
                
- he or she has a family history of IgA nephropathy or Henoch-Schnlein purpuraa disease that causes small blood vessels in the body to become inflamed and leak  - he is a male in his teens to late 30s  - he or she is Asian or Caucasian",IgA Nephropathy,frequency,NIDDK
What are the symptoms of IgA Nephropathy ?,"In its early stages, IgA nephropathy may have no symptoms; it can be silent for years or even decades. Once symptoms appear, the most common one is hematuria, or blood in the urine. Hematuria can be a sign of damaged glomeruli. Blood in the urine may appear during or soon after a cold, sore throat, or other respiratory infection. The amount of blood may be
                
- visible with the naked eye. The urine may turn pink or the color of tea or cola. Sometimes a person may have dark or bloody urine.  - so small that it can only be detected using special medical tests.
                
Another symptom of IgA nephropathy is albuminuriawhen a persons urine contains an increased amount of albumin, a protein typically found in the blood, or large amounts of protein in the urine. Albumin is the main protein in the blood. Healthy kidneys keep most proteins in the blood from leaking into the urine. However, when the glomeruli are damaged, large amounts of protein leak out of the blood into the urine.
                
When albumin leaks into the urine, the blood loses its capacity to absorb extra fluid from the body. Too much fluid in the body may cause edema, or swelling, usually in the legs, feet, or ankles and less often in the hands or face. Foamy urine is another sign of albuminuria. Some people with IgA nephropathy have both hematuria and albuminuria.
                
After 10 to 20 years with IgA nephropathy, about 20 to 40 percent of adults develop end-stage kidney disease.5 Signs and symptoms of end-stage kidney disease may include
                
- high blood pressure  - little or no urination  - edema  - feeling tired  - drowsiness  - generalized itching or numbness  - dry skin  - headaches  - weight loss  - appetite loss  - nausea  - vomiting  - sleep problems  - trouble concentrating  - darkened skin  - muscle cramps",IgA Nephropathy,symptoms,NIDDK
What are the complications of IgA Nephropathy ?,"Complications of IgA nephropathy include
                
- high blood pressure  - acute kidney failuresudden and temporary loss of kidney function  - chronic kidney failurereduced kidney function over a period of time  - nephrotic syndromea collection of symptoms that indicate kidney damage; symptoms include albuminuria, lack of protein in the blood, and high blood cholesterol levels  - heart or cardiovascular problems  - Henoch-Schnlein purpura
                
More information is provided in the NIDDK health topics, Kidney Disease and Kidney Failure.",IgA Nephropathy,complications,NIDDK
How to diagnose IgA Nephropathy ?,"A health care provider diagnoses kidney disease with
                
- a medical and family history  - a physical exam  - urine tests   - a blood test
                
Medical and Family History
                
Taking a medical and family history may help a health care provider diagnose kidney disease.
                
Physical Exam
                
A physical exam may help diagnose kidney disease. During a physical exam, a health care provider usually
                
- measures the patients blood pressure  - examines the patients body for swelling
                
Urine Tests
                
Dipstick test for albumin and blood. A dipstick test performed on a urine sample can detect the presence of albumin and blood. The patient provides a urine sample in a special container in a health care providers office or a commercial facility. A nurse or technician can test the sample in the same location, or he or she can send it to a lab for analysis. The test involves placing a strip of chemically treated paper, called a dipstick, into the patients urine sample. Patches on the dipstick change color when albumin or blood is present in urine.
                
Urine albumin-to-creatinine ratio. A health care provider uses this measurement, which compares the amount of albumin with the amount of creatinine in a urine sample, to estimate 24-hour albumin excretion. A patient may have chronic kidney disease if the urine albumin-to-creatinine ratio is greater than 30 milligrams (mg) of albumin for each gram (g) of creatinine (30 mg/g). This measurement is also called UACR.
                
Blood Test
                
A blood test involves having blood drawn at a health care providers office or a commercial facility and sending the sample to a lab for analysis. A health care provider may order a blood test to estimate how much blood a patients kidneys filter each minutea measurement called the estimated glomerular filtration rate (eGFR). Depending on the results, the test can indicate the following:
                
- eGFR of 60 or above is in the normal range  - eGFR below 60 may indicate kidney disease  - eGFR of 15 or below may indicate kidney failure",IgA Nephropathy,exams and tests,NIDDK
How to diagnose IgA Nephropathy ?,"Currently, health care providers do not use blood or urine tests as reliable ways to diagnose IgA nephropathy; therefore, the diagnosis of IgA nephropathy requires a kidney biopsy.
                
A kidney biopsy is a procedure that involves taking a small piece of kidney tissue for examination with a microscope. A health care provider performs a kidney biopsy in a hospital or an outpatient center with light sedation and a local anesthetic. The health care provider uses imaging techniques such as ultrasound or a computerized tomography scan to guide the biopsy needle into the kidney. A pathologista doctor who specializes in examining tissues to diagnose diseasesexamines the kidney tissue with a microscope. Only a biopsy can show the IgA deposits in the glomeruli. The biopsy can also show how much kidney damage has already occurred. The biopsy results can help the health care provider determine the best course of treatment.",IgA Nephropathy,exams and tests,NIDDK
What are the treatments for IgA Nephropathy ?,"Researchers have not yet found a specific cure for IgA nephropathy. Once the kidneys are scarred, they cannot be repaired. Therefore, the ultimate goal of IgA nephropathy treatment is to prevent or delay end-stage kidney disease. A health care provider may prescribe medications to
                
- control a persons blood pressure and slow the progression of kidney disease  - remove extra fluid from a persons blood  - control a persons immune system  - lower a persons blood cholesterol levels
                
Control Blood Pressure and Slow Progression of Kidney Disease
                
People with IgA nephropathy that is causing high blood pressure may need to take medications that lower blood pressure and can also significantly slow the progression of kidney disease. Two types of blood pressure-lowering medicationsangiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs)have proven effective in slowing the progression of kidney disease. Many people require two or more medications to control their blood pressure. A person may also need beta-blockers, calcium channel blockers, and other blood pressure medications.
                
Remove Extra Fluid
                
A health care provider may prescribe a diuretic, a medication that helps the kidneys remove extra fluid from the blood. Removing the extra fluid can improve the control of blood pressure. Taking a diuretic along with an ACE inhibitor or an ARB often increases the effectiveness of these medications.
                
Control the Immune System
                
Health care providers sometimes use medications to control a persons immune system. Since inflammation is the immune systems normal response, controlling the immune system can decrease inflammation. Health care providers may prescribe the following medications:
                
- corticosteroids, such as prednisone  - cyclophosphamide
                
Lower Blood Cholesterol Levels
                
People with IgA nephropathy may develop high blood cholesterol levels. Cholesterol is a type of fat found in the bodys cells, in blood, and in many foods. People who take medications for high blood cholesterol levels can lower their blood cholesterol levels. A health care provider may prescribe one of several cholesterol-lowering medications called statins.",IgA Nephropathy,treatment,NIDDK
How to prevent IgA Nephropathy ?,"Researchers have not found a way to prevent IgA nephropathy. People with a family history of IgA nephropathy should talk with their health care provider to find out what steps they can take to keep their kidneys healthy, such as controlling their blood pressure and keeping their blood cholesterol at healthy levels.",IgA Nephropathy,prevention,NIDDK
What to do for IgA Nephropathy ?,"Researchers have not found that eating, diet, and nutrition play a role in causing or preventing IgA nephropathy. Health care providers may recommend that people with kidney disease, such as IgA nephropathy, make dietary changes such as
                
- limiting dietary sodium, often from salt, to help reduce edema and lower blood pressure  - decreasing liquid intake to help reduce edema and lower blood pressure  - eating a diet low in saturated fat and cholesterol to help control high levels of lipids, or fats, in the blood
                
Health care providers may also recommend that people with kidney disease eat moderate or reduced amounts of protein, although the benefit of reducing protein in a persons diet is still being researched. Proteins break down into waste products the kidneys must filter from the blood. Eating more protein than the body needs may burden the kidneys and cause kidney function to decline faster. However, protein intake that is too low may lead to malnutrition, a condition that occurs when the body does not get enough nutrients. People with kidney disease on a restricted protein diet should receive blood tests that can show nutrient levels.
                
Some researchers have shown that fish oil supplements containing omega-3 fatty acids may slow kidney damage in some people with kidney disease by lowering blood pressure. Omega-3 fatty acids may help reduce inflammation and slow kidney damage due to IgA nephropathy. To help ensure coordinated and safe care, people should discuss their use of complementary and alternative medical practices, including their use of dietary supplements and probiotics, with their health care provider. Read more at www.nccam.nih.gov/health/supplements.
                
People with IgA nephropathy should talk with a health care provider about dietary changes to best manage their individual needs.",IgA Nephropathy,considerations,NIDDK
What to do for IgA Nephropathy ?,"- Immunoglobulin A (IgA) nephropathy, also known as Bergers disease, is a kidney disease that occurs when IgA deposits build up in the kidneys, causing inflammation that damages kidney tissues.  - Scientists think that IgA nephropathy is an autoimmune kidney disease, meaning that the disease is due to the bodys immune system attacking tissues in the kidney.  - IgA nephropathy is one of the most common kidney diseases, other than those caused by diabetes or high blood pressure.  - In its early stages, IgA nephropathy may have no symptoms; it can be silent for years or even decades.  - Once symptoms appear, the most common one is hematuria, or blood in the urine.  - Another symptom of IgA nephropathy is albuminuriawhen a persons urine contains an increased amount of albumin, a protein typically found in the blood, or large amounts of protein in the urine.  - Currently, health care providers do not use blood or urine tests as reliable ways to diagnose IgA nephropathy; therefore, the diagnosis of IgA nephropathy requires a kidney biopsy.  - Researchers have not yet found a specific cure for IgA nephropathy.",IgA Nephropathy,considerations,NIDDK
How to diagnose Kidney Disease of Diabetes ?,"People with diabetes should be screened regularly for kidney disease. The two key markers for kidney disease are eGFR and urine albumin.
                
-  eGFR. eGFR stands for estimated glomerular filtration rate. Each kidney contains about 1 million tiny filters made up of blood vessels. These filters are called glomeruli. Kidney function can be checked by estimating how much blood the glomeruli filter in a minute. The calculation of eGFR is based on the amount of creatinine, a waste product, found in a blood sample. As the level of creatinine goes up, the eGFR goes down.  Kidney disease is present when eGFR is less than 60 milliliters per minute.  The American Diabetes Association (ADA) and the National Institutes of Health (NIH) recommend that eGFR be calculated from serum creatinine at least once a year in all people with diabetes.  -  Urine albumin. Urine albumin is measured by comparing the amount of albumin to the amount of creatinine in a single urine sample. When the kidneys are healthy, the urine will contain large amounts of creatinine but almost no albumin. Even a small increase in the ratio of albumin to creatinine is a sign of kidney damage.  Kidney disease is present when urine contains more than 30 milligrams of albumin per gram of creatinine, with or without decreased eGFR.  The ADA and the NIH recommend annual assessment of urine albumin excretion to assess kidney damage in all people with type 2 diabetes and people who have had type 1 diabetes for 5 years or more.
                
If kidney disease is detected, it should be addressed as part of a comprehensive approach to the treatment of diabetes.",Kidney Disease of Diabetes,exams and tests,NIDDK
How to diagnose Kidney Disease of Diabetes ?,"People with diabetes should be screened regularly for kidney disease. The two key markers for kidney disease are eGFR and urine albumin.
                
-  eGFR. eGFR stands for estimated glomerular filtration rate. Each kidney contains about 1 million tiny filters made up of blood vessels. These filters are called glomeruli. Kidney function can be checked by estimating how much blood the glomeruli filter in a minute. The calculation of eGFR is based on the amount of creatinine, a waste product, found in a blood sample. As the level of creatinine goes up, the eGFR goes down.  Kidney disease is present when eGFR is less than 60 milliliters per minute.  The American Diabetes Association (ADA) and the National Institutes of Health (NIH) recommend that eGFR be calculated from serum creatinine at least once a year in all people with diabetes.  -  Urine albumin. Urine albumin is measured by comparing the amount of albumin to the amount of creatinine in a single urine sample. When the kidneys are healthy, the urine will contain large amounts of creatinine but almost no albumin. Even a small increase in the ratio of albumin to creatinine is a sign of kidney damage.  Kidney disease is present when urine contains more than 30 milligrams of albumin per gram of creatinine, with or without decreased eGFR.  The ADA and the NIH recommend annual assessment of urine albumin excretion to assess kidney damage in all people with type 2 diabetes and people who have had type 1 diabetes for 5 years or more.
                
If kidney disease is detected, it should be addressed as part of a comprehensive approach to the treatment of diabetes.",Kidney Disease of Diabetes,exams and tests,NIDDK
How to prevent Kidney Disease of Diabetes ?,"Blood Pressure Medicines
                
Scientists have made great progress in developing methods that slow the onset and progression of kidney disease in people with diabetes. Drugs used to lower blood pressure can slow the progression of kidney disease significantly. Two types of drugs, angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), have proven effective in slowing the progression of kidney disease. Many people require two or more drugs to control their blood pressure. In addition to an ACE inhibitor or an ARB, a diuretic can also be useful. Beta blockers, calcium channel blockers, and other blood pressure drugs may also be needed.
                
An example of an effective ACE inhibitor is lisinopril (Prinivil, Zestril), which doctors commonly prescribe for treating kidney disease of diabetes. The benefits of lisinopril extend beyond its ability to lower blood pressure: it may directly protect the kidneys' glomeruli. ACE inhibitors have lowered proteinuria and slowed deterioration even in people with diabetes who did not have high blood pressure.
                
An example of an effective ARB is losartan (Cozaar), which has also been shown to protect kidney function and lower the risk of cardiovascular events.
                
Patients with even mild hypertension or persistent microalbuminuria should consult a health care provider about the use of antihypertensive medicines.
                
Moderate-protein Diets
                
In people with diabetes, excessive consumption of protein may be harmful. Experts recommend that people with kidney disease of diabetes consume the recommended dietary allowance for protein, but avoid high-protein diets. For people with greatly reduced kidney function, a diet containing reduced amounts of protein may help delay the onset of kidney failure. Anyone following a reduced-protein diet should work with a dietitian to ensure adequate nutrition.
                
Intensive Management of Blood Glucose
                
Antihypertensive drugs and low-protein diets can slow CKD. A third treatment, known as intensive management of blood glucose or glycemic control, has shown great promise for people with diabetes, especially for those in the early stages of CKD.
                
The human body normally converts food to glucose, the simple sugar that is the main source of energy for the body's cells. To enter cells, glucose needs the help of insulin, a hormone produced by the pancreas. When a person does not make enough insulin, or the body does not respond to the insulin that is present, the body cannot process glucose, and it builds up in the bloodstream. High levels of glucose in the blood lead to a diagnosis of diabetes.
                
Intensive management of blood glucose is a treatment regimen that aims to keep blood glucose levels close to normal. The regimen includes testing blood glucose frequently, administering insulin throughout the day on the basis of food intake and physical activity, following a diet and activity plan, and consulting a health care team regularly. Some people use an insulin pump to supply insulin throughout the day.
                
A number of studies have pointed to the beneficial effects of intensive management of blood glucose. In the Diabetes Control and Complications Trial supported by the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), researchers found a 50 percent decrease in both development and progression of early diabetic kidney disease in participants who followed an intensive regimen for controlling blood glucose levels. The intensively managed patients had average blood glucose levels of 150 milligrams per deciliterabout 80 milligrams per deciliter lower than the levels observed in the conventionally managed patients. The United Kingdom Prospective Diabetes Study, conducted from 1976 to 1997, showed conclusively that, in people with improved blood glucose control, the risk of early kidney disease was reduced by a third. Additional studies conducted over the past decades have clearly established that any program resulting in sustained lowering of blood glucose levels will be beneficial to patients in the early stages of CKD.",Kidney Disease of Diabetes,prevention,NIDDK
How to prevent Kidney Disease of Diabetes ?,"Blood Pressure Medicines
                
Scientists have made great progress in developing methods that slow the onset and progression of kidney disease in people with diabetes. Drugs used to lower blood pressure can slow the progression of kidney disease significantly. Two types of drugs, angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), have proven effective in slowing the progression of kidney disease. Many people require two or more drugs to control their blood pressure. In addition to an ACE inhibitor or an ARB, a diuretic can also be useful. Beta blockers, calcium channel blockers, and other blood pressure drugs may also be needed.
                
An example of an effective ACE inhibitor is lisinopril (Prinivil, Zestril), which doctors commonly prescribe for treating kidney disease of diabetes. The benefits of lisinopril extend beyond its ability to lower blood pressure: it may directly protect the kidneys' glomeruli. ACE inhibitors have lowered proteinuria and slowed deterioration even in people with diabetes who did not have high blood pressure.
                
An example of an effective ARB is losartan (Cozaar), which has also been shown to protect kidney function and lower the risk of cardiovascular events.
                
Patients with even mild hypertension or persistent microalbuminuria should consult a health care provider about the use of antihypertensive medicines.
                
Moderate-protein Diets
                
In people with diabetes, excessive consumption of protein may be harmful. Experts recommend that people with kidney disease of diabetes consume the recommended dietary allowance for protein, but avoid high-protein diets. For people with greatly reduced kidney function, a diet containing reduced amounts of protein may help delay the onset of kidney failure. Anyone following a reduced-protein diet should work with a dietitian to ensure adequate nutrition.
                
Intensive Management of Blood Glucose
                
Antihypertensive drugs and low-protein diets can slow CKD. A third treatment, known as intensive management of blood glucose or glycemic control, has shown great promise for people with diabetes, especially for those in the early stages of CKD.
                
The human body normally converts food to glucose, the simple sugar that is the main source of energy for the body's cells. To enter cells, glucose needs the help of insulin, a hormone produced by the pancreas. When a person does not make enough insulin, or the body does not respond to the insulin that is present, the body cannot process glucose, and it builds up in the bloodstream. High levels of glucose in the blood lead to a diagnosis of diabetes.
                
Intensive management of blood glucose is a treatment regimen that aims to keep blood glucose levels close to normal. The regimen includes testing blood glucose frequently, administering insulin throughout the day on the basis of food intake and physical activity, following a diet and activity plan, and consulting a health care team regularly. Some people use an insulin pump to supply insulin throughout the day.
                
A number of studies have pointed to the beneficial effects of intensive management of blood glucose. In the Diabetes Control and Complications Trial supported by the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), researchers found a 50 percent decrease in both development and progression of early diabetic kidney disease in participants who followed an intensive regimen for controlling blood glucose levels. The intensively managed patients had average blood glucose levels of 150 milligrams per deciliterabout 80 milligrams per deciliter lower than the levels observed in the conventionally managed patients. The United Kingdom Prospective Diabetes Study, conducted from 1976 to 1997, showed conclusively that, in people with improved blood glucose control, the risk of early kidney disease was reduced by a third. Additional studies conducted over the past decades have clearly established that any program resulting in sustained lowering of blood glucose levels will be beneficial to patients in the early stages of CKD.",Kidney Disease of Diabetes,prevention,NIDDK
What to do for Kidney Disease of Diabetes ?,"- Diabetes is the leading cause of chronic kidney disease (CKD) and kidney failure in the United States.  - People with diabetes should be screened regularly for kidney disease. The two key markers for kidney disease are estimated glomerular filtration rate (eGFR) and urine albumin.  - Drugs used to lower blood pressure can slow the progression of kidney disease significantly. Two types of drugs, angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), have proven effective in slowing the progression of kidney disease.  - In people with diabetes, excessive consumption of protein may be harmful.  - Intensive management of blood glucose has shown great promise for people with diabetes, especially for those in the early stages of CKD.",Kidney Disease of Diabetes,considerations,NIDDK
What to do for Kidney Disease of Diabetes ?,"- Diabetes is the leading cause of chronic kidney disease (CKD) and kidney failure in the United States.  - People with diabetes should be screened regularly for kidney disease. The two key markers for kidney disease are estimated glomerular filtration rate (eGFR) and urine albumin.  - Drugs used to lower blood pressure can slow the progression of kidney disease significantly. Two types of drugs, angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), have proven effective in slowing the progression of kidney disease.  - In people with diabetes, excessive consumption of protein may be harmful.  - Intensive management of blood glucose has shown great promise for people with diabetes, especially for those in the early stages of CKD.",Kidney Disease of Diabetes,considerations,NIDDK
